Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE CENTRAL,"1,528,000",635.08,"2,406",07 Oct 2019,6 EU TONG SEN STREET #12-14,Resale,Strata,59,"25,898",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
GOLDEN MILE COMPLEX,"838,000",925.7,905,09 Oct 2019,5001 BEACH ROAD #07-16,Resale,Strata,86,"9,744",Office,99 yrs from 04/08/1969,07,19,199588,Central Region,Kallang
THE CENTRAL,"1,715,000",645.84,"2,655",10 Oct 2019,8 EU TONG SEN STREET #23-83,Resale,Strata,60,"28,583",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
SIM LIM TOWER,"1,087,900",505.91,"2,150",10 Oct 2019,10 JALAN BESAR #07-11,Resale,Strata,47,"23,147",Office,Freehold,08,20,208787,Central Region,Rochor
INTERNATIONAL PLAZA,"1,000,000",473.62,"2,111",11 Oct 2019,10 ANSON ROAD #17-21,Resale,Strata,44,"22,727",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
TANGLIN SHOPPING CENTRE,"3,500,000","1,323.97","2,644",14 Oct 2019,19 TANGLIN ROAD #11-05,Resale,Strata,123,"28,455",Office,Freehold,10,24,247909,Central Region,Orchard
SAMSUNG HUB,"11,863,500","3,595.18","3,300",15 Oct 2019,3 CHURCH STREET #17-03,Resale,Strata,334,"35,519",Office,999 yrs from 25/01/1827,01,04,049483,Central Region,Downtown Core
INTERNATIONAL PLAZA,"1,853,280",936.47,"1,979",16 Oct 2019,10 ANSON ROAD #21-01,Resale,Strata,87,"21,302",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
PAYA LEBAR SQUARE,"992,000",505.91,"1,961",17 Oct 2019,60 PAYA LEBAR ROAD #08-31,Resale,Strata,47,"21,106",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
CENTRIUM SQUARE,"1,480,000",570.49,"2,594",17 Oct 2019,320 SERANGOON ROAD #11-03,New Sale,Strata,53,"27,925",Office,Freehold,08,21,218108,Central Region,Kallang
WOODS SQUARE,"1,052,636",559.73,"1,881",18 Oct 2019,12 WOODLANDS SQUARE #05-83,New Sale,Strata,52,"20,243",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
PENINSULA PLAZA,"2,821,500","1,485.43","1,899",18 Oct 2019,111 NORTH BRIDGE ROAD #12-02,Resale,Strata,138,"20,446",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
TANGLIN SHOPPING CENTRE,"975,000",344.45,"2,831",18 Oct 2019,19 TANGLIN ROAD #06-53,Resale,Strata,32,"30,469",Office,Freehold,10,24,247909,Central Region,Orchard
BRIGHT CENTRE,"1,850,000","1,948.28",950,21 Oct 2019,55 LORONG L TELOK KURAU #03-69,Resale,Strata,181,"10,221",Office,Freehold,15,42,425500,East Region,Bedok
THE CENTRAL,"4,200,000","1,453.14","2,890",21 Oct 2019,8 EU TONG SEN STREET #15-89,Resale,Strata,135,"31,111",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
CHINATOWN POINT,"1,261,682",721.19,"1,749",23 Oct 2019,133 NEW BRIDGE ROAD #16-05,Resale,Strata,67,"18,831",Office,99 yrs from 12/11/1980,01,05,059413,Central Region,Outram
INTERNATIONAL PLAZA,"4,290,000","2,357.32","1,820",24 Oct 2019,"10 ANSON ROAD #29-06,06A,06B",Resale,Strata,219,"19,589",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
CROWN AT ROBINSON,"3,794,966","1,140.98","3,326",24 Oct 2019,140 ROBINSON ROAD #09-01,Resale,Strata,106,"35,802",Office,Freehold,01,06,068907,Central Region,Downtown Core
SOHO LIFE,"500,000",344.45,"1,452",25 Oct 2019,216 JOO CHIAT ROAD #05-25,Resale,Strata,32,"15,625",Office,Freehold,15,42,427483,Central Region,Geylang
VISION EXCHANGE,"934,579",441.32,"2,118",29 Oct 2019,2 VENTURE DRIVE #09-01,Resale,Strata,41,"22,795",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
LUCKY PLAZA,"1,238,000",182.99,"6,765",30 Oct 2019,304 ORCHARD ROAD #04-99,Resale,Strata,17,"72,824",Office,Freehold,09,23,238863,Central Region,Orchard
WOODS SQUARE,"1,178,950",645.84,"1,825",30 Oct 2019,12 WOODLANDS SQUARE #04-88,New Sale,Strata,60,"19,649",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
CENTRIUM SQUARE,"1,481,300",570.49,"2,597",30 Oct 2019,320 SERANGOON ROAD #11-10,New Sale,Strata,53,"27,949",Office,Freehold,08,21,218108,Central Region,Kallang
THE CENTRAL,"2,175,000",925.7,"2,350",31 Oct 2019,8 EU TONG SEN STREET #15-85,Resale,Strata,86,"25,291",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
PEOPLE'S PARK COMPLEX,"2,000,000",441.32,"4,532",01 Nov 2019,"1 PARK ROAD #02-44,53",Resale,Strata,41,"48,780",Office,99 yrs from 25/03/1968,01,05,059108,Central Region,Outram
SBF CENTER,"1,880,000",592.02,"3,176",04 Nov 2019,160 ROBINSON ROAD #24-09,Resale,Strata,55,"34,182",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
SBF CENTER,"2,298,000",678.13,"3,389",05 Nov 2019,160 ROBINSON ROAD #22-08,Resale,Strata,63,"36,476",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
BUKIT TIMAH SHOPPING CENTRE,"2,100,000","1,733","1,212",06 Nov 2019,170 UPPER BUKIT TIMAH ROAD #14-04,Resale,Strata,161,"13,043",Office,999 yrs from 17/12/1883,21,58,588179,Central Region,Bukit Timah
PEACE CENTRE/MANSIONS,"1,465,000","1,582.31",926,07 Nov 2019,1 SOPHIA ROAD #04-06,Resale,Strata,147,"9,966",Office,99 yrs from 02/06/1970,09,22,228149,Central Region,Rochor
BEAUTY WORLD PLAZA,"720,000",269.1,"2,676",07 Nov 2019,140 UPPER BUKIT TIMAH ROAD #03-18,Resale,Strata,25,"28,800",Office,999 yrs from 07/06/1884,21,58,588176,Central Region,Bukit Timah
SUNTEC CITY,"5,520,000","2,400.37","2,300",08 Nov 2019,7 TEMASEK BOULEVARD #07-04,Resale,Strata,223,"24,753",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
SUNTEC CITY,"3,715,000","1,614.6","2,301",08 Nov 2019,7 TEMASEK BOULEVARD #07-05,Resale,Strata,150,"24,767",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
SUNTEC CITY,"5,198,000","2,260.44","2,300",08 Nov 2019,7 TEMASEK BOULEVARD #07-03,Resale,Strata,210,"24,752",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
SUNTEC CITY,"7,157,500","2,863.22","2,500",08 Nov 2019,7 TEMASEK BOULEVARD #14-02,Resale,Strata,266,"26,908",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
PENINSULA PLAZA,"4,020,000","1,776.06","2,263",14 Nov 2019,111 NORTH BRIDGE ROAD #23-05,Resale,Strata,165,"24,364",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
THE CENTRAL,"42,678,400","13,336.6","3,200",14 Nov 2019,8 EU TONG SEN STREET #25-89,Resale,Strata,"1,239","34,446",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
SUNTEC CITY,"4,605,300","2,142.04","2,150",15 Nov 2019,7 TEMASEK BOULEVARD #04-03,Resale,Strata,199,"23,142",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
THE CENTRAL,"2,350,000",871.88,"2,695",18 Nov 2019,8 EU TONG SEN STREET #17-82,Resale,Strata,81,"29,012",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
THOMSON PLAZA,"1,500,000",409.03,"3,667",19 Nov 2019,301 UPPER THOMSON ROAD #01-42,Resale,Strata,38,"39,474",Office,99 yrs from 15/10/1976,20,57,574408,Central Region,Bishan
PARKLANE SHOPPING MALL,"880,000",861.12,"1,022",20 Nov 2019,35 SELEGIE ROAD #10-01,Resale,Strata,80,"11,000",Office,99 yrs from 01/12/1974,07,18,188307,Central Region,Rochor
CENTROPOD @ CHANGI,"570,000",236.81,"2,407",21 Nov 2019,80 CHANGI ROAD #02-30,Resale,Strata,22,"25,909",Office,Freehold,14,41,419715,Central Region,Geylang
PAYA LEBAR SQUARE,"1,847,900","1,087.16","1,700",21 Nov 2019,60 PAYA LEBAR ROAD #04-46,Resale,Strata,101,"18,296",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PRUDENTIAL TOWER,"5,362,500","1,625.36","3,299",21 Nov 2019,30 CECIL STREET #24-01,Resale,Strata,151,"35,513",Office,99 yrs from 15/01/1996,01,04,049712,Central Region,Downtown Core
SBF CENTER,"2,500,000",753.48,"3,318",22 Nov 2019,160 ROBINSON ROAD #15-03,Resale,Strata,70,"35,714",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
KH KEA BUILDING,"79,300,000","4,684.49","16,928",22 Nov 2019,333 NORTH BRIDGE ROAD,Resale,Land,435.2,"182,215",Office,999 yrs from 17/03/1828,07,18,188721,Central Region,Downtown Core
SBF CENTER,"2,500,000",731.95,"3,416",22 Nov 2019,160 ROBINSON ROAD #15-02,Resale,Strata,68,"36,765",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
PEACE CENTRE/MANSIONS,"550,000",441.32,"1,246",25 Nov 2019,1 SOPHIA ROAD #05-26,Resale,Strata,41,"13,415",Office,99 yrs from 02/06/1970,09,22,228149,Central Region,Rochor
ROBINSON SQUARE,"3,780,000","1,367.03","2,765",25 Nov 2019,144 ROBINSON ROAD #03-01,Resale,Strata,127,"29,764",Office,Freehold,01,06,068908,Central Region,Downtown Core
PAYA LEBAR SQUARE,"1,113,615",538.2,"2,069",26 Nov 2019,60 PAYA LEBAR ROAD #11-15,Resale,Strata,50,"22,272",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"1,136,384",548.96,"2,070",26 Nov 2019,60 PAYA LEBAR ROAD #11-16,Resale,Strata,51,"22,282",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
THE CENTRAL,"1,570,000",635.08,"2,472",28 Nov 2019,8 EU TONG SEN STREET #13-86,Resale,Strata,59,"26,610",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
GRANDLINK SQUARE,"636,000",312.16,"2,037",28 Nov 2019,511 GUILLEMARD ROAD #02-34,Resale,Strata,29,"21,931",Office,Freehold,14,39,399849,Central Region,Geylang
WOODS SQUARE,"1,178,518",570.49,"2,066",29 Nov 2019,12 WOODLANDS SQUARE #06-79,New Sale,Strata,53,"22,236",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
GB BUILDING,"9,222,500","5,425.06","1,700",29 Nov 2019,"143 CECIL STREET #11-01,02,03,04",Resale,Strata,504,"18,299",Office,99 yrs from 12/10/1982,01,06,069542,Central Region,Downtown Core
THE CENTRAL,"4,255,036","1,485.43","2,865",03 Dec 2019,8 EU TONG SEN STREET #11-97,Resale,Strata,138,"30,834",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
THE CENTRAL,"2,519,964",882.65,"2,855",03 Dec 2019,8 EU TONG SEN STREET #11-96,Resale,Strata,82,"30,731",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
CHINATOWN POINT,"2,200,000","1,054.87","2,086",03 Dec 2019,133 NEW BRIDGE ROAD #17-03,Resale,Strata,98,"22,449",Office,99 yrs from 12/11/1980,01,05,059413,Central Region,Outram
HAVELOCK2,"2,300,000","1,248.62","1,842",04 Dec 2019,2 HAVELOCK ROAD #04-09,Resale,Strata,116,"19,828",Office,99 yrs from 04/05/1983,01,05,059763,Central Region,Singapore River
CENTRIUM SQUARE,"1,560,000",613.55,"2,543",06 Dec 2019,320 SERANGOON ROAD #13-07,New Sale,Strata,57,"27,368",Office,Freehold,08,21,218108,Central Region,Kallang
CENTRIUM SQUARE,"1,560,000",613.55,"2,543",06 Dec 2019,320 SERANGOON ROAD #13-06,New Sale,Strata,57,"27,368",Office,Freehold,08,21,218108,Central Region,Kallang
INTERNATIONAL PLAZA,"2,000,000",936.47,"2,136",06 Dec 2019,"10 ANSON ROAD #09-22,23",Resale,Strata,87,"22,989",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
PENINSULA PLAZA,"2,200,000","1,001.05","2,198",09 Dec 2019,111 NORTH BRIDGE ROAD #23-06,Resale,Strata,93,"23,656",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
EON SHENTON,"2,398,000","1,033.34","2,321",10 Dec 2019,"70 SHENTON WAY #07-04,05",Sub Sale,Strata,96,"24,979",Office,99 yrs from 06/10/2011,02,07,079118,Central Region,Downtown Core
CENTRIUM SQUARE,"1,523,900",570.49,"2,671",11 Dec 2019,320 SERANGOON ROAD #14-10,New Sale,Strata,53,"28,753",Office,Freehold,08,21,218108,Central Region,Kallang
SOUTHBANK,"1,100,000",688.9,"1,597",12 Dec 2019,883 NORTH BRIDGE ROAD #04-01,Resale,Strata,64,"17,188",Office,99 yrs from 27/01/2006,07,19,198785,Central Region,Kallang
PAYA LEBAR SQUARE,"2,000,000","1,044.11","1,916",12 Dec 2019,60 PAYA LEBAR ROAD #06-57,Resale,Strata,97,"20,619",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
CENTRIUM SQUARE,"1,501,853",570.49,"2,633",13 Dec 2019,320 SERANGOON ROAD #13-10,New Sale,Strata,53,"28,337",Office,Freehold,08,21,218108,Central Region,Kallang
SOHO LIFE,"492,000",344.45,"1,428",13 Dec 2019,216 JOO CHIAT ROAD #04-25,Resale,Strata,32,"15,375",Office,Freehold,15,42,427483,Central Region,Geylang
SUNTEC CITY,"8,564,250","3,605.94","2,375",16 Dec 2019,7 TEMASEK BOULEVARD #13-03,Resale,Strata,335,"25,565",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
SHENTON HOUSE,"2,492,328","1,356.26","1,838",17 Dec 2019,3 SHENTON WAY #22-08,Resale,Strata,126,"19,780",Office,99 yrs from 02/06/1969,01,06,068805,Central Region,Downtown Core
CENTRIUM SQUARE,"1,844,100",710.42,"2,596",18 Dec 2019,320 SERANGOON ROAD #12-11,New Sale,Strata,66,"27,941",Office,Freehold,08,21,218108,Central Region,Kallang
N.A.,"52,000,000","4,543.48","11,445",18 Dec 2019,146 ROBINSON ROAD,Resale,Land,422.1,"123,194",Office,99 yrs from 03/06/1992,01,06,068909,Central Region,Downtown Core
CENTRIUM SQUARE,"2,470,800",979.52,"2,522",18 Dec 2019,320 SERANGOON ROAD #12-12,New Sale,Strata,91,"27,152",Office,Freehold,08,21,218108,Central Region,Kallang
THE CENTRAL,"1,418,000",602.78,"2,352",18 Dec 2019,6 EU TONG SEN STREET #11-03,Resale,Strata,56,"25,321",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
CHINATOWN POINT,"1,740,750","1,054.87","1,650",18 Dec 2019,133 NEW BRIDGE ROAD #16-09,Resale,Strata,98,"17,763",Office,99 yrs from 12/11/1980,01,05,059413,Central Region,Outram
SBF CENTER,"2,840,160",731.95,"3,880",19 Dec 2019,160 ROBINSON ROAD #19-02,Resale,Strata,68,"41,767",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
SBF CENTER,"2,432,190",753.48,"3,228",19 Dec 2019,160 ROBINSON ROAD #19-03,Resale,Strata,70,"34,746",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
SUNTEC CITY,"3,861,775","1,367.03","2,825",19 Dec 2019,7 TEMASEK BOULEVARD #19-02A,Resale,Strata,127,"30,408",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
PENINSULA PLAZA,"2,878,800","1,485.43","1,938",20 Dec 2019,111 NORTH BRIDGE ROAD #15-01,Resale,Strata,138,"20,861",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
PENINSULA PLAZA,"2,878,800","1,485.43","1,938",20 Dec 2019,111 NORTH BRIDGE ROAD #15-02,Resale,Strata,138,"20,861",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
BURLINGTON SQUARE,"2,780,000","1,485.43","1,872",23 Dec 2019,"175A BENCOOLEN STREET #12-09,10",Resale,Strata,138,"20,145",Office,99 yrs from 10/06/1996,07,18,189650,Central Region,Rochor
SUNTEC CITY,"7,700,000","2,335.79","3,297",26 Dec 2019,8 TEMASEK BOULEVARD #36-03,Resale,Strata,217,"35,484",Office,99 yrs from 01/03/1989,01,03,038988,Central Region,Downtown Core
THE CENTRAL,"1,430,000",635.08,"2,252",26 Dec 2019,6 EU TONG SEN STREET #06-12,Resale,Strata,59,"24,237",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
THE CENTRAL,"1,780,000",635.08,"2,803",26 Dec 2019,6 EU TONG SEN STREET #11-11,Resale,Strata,59,"30,169",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
THE CENTRAL,"1,450,000",645.84,"2,245",26 Dec 2019,6 EU TONG SEN STREET #06-13,Resale,Strata,60,"24,167",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
PENINSULA PLAZA,"3,818,400","1,776.06","2,150",27 Dec 2019,111 NORTH BRIDGE ROAD #13-04,Resale,Strata,165,"23,142",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
CENTRIUM SQUARE,"1,509,400",570.49,"2,646",27 Dec 2019,320 SERANGOON ROAD #13-03,New Sale,Strata,53,"28,479",Office,Freehold,08,21,218108,Central Region,Kallang
THE CENTRAL,"1,750,000",635.08,"2,756",27 Dec 2019,6 EU TONG SEN STREET #10-09,Resale,Strata,59,"29,661",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
CENTRIUM SQUARE,"1,523,900",570.49,"2,671",30 Dec 2019,320 SERANGOON ROAD #14-03,New Sale,Strata,53,"28,753",Office,Freehold,08,21,218108,Central Region,Kallang
CENTRIUM SQUARE,"2,447,700",979.52,"2,499",30 Dec 2019,320 SERANGOON ROAD #11-12,New Sale,Strata,91,"26,898",Office,Freehold,08,21,218108,Central Region,Kallang
CENTRIUM SQUARE,"2,423,800",979.52,"2,474",30 Dec 2019,320 SERANGOON ROAD #10-12,New Sale,Strata,91,"26,635",Office,Freehold,08,21,218108,Central Region,Kallang
UPPER SERANGOON SHOPPING CENTRE,"645,000",322.92,"1,997",02 Jan 2020,756 UPPER SERANGOON ROAD #01-22,Resale,Strata,30,"21,500",Office,Freehold,19,53,534626,North East Region,Hougang
CONCORDE SHOPPING CENTRE,"232,727",161.46,"1,441",02 Jan 2020,317 OUTRAM ROAD #B1-21,Resale,Strata,15,"15,515",Office,99 yrs from 16/06/1980,03,16,169075,Central Region,Bukit Merah
THE CENTRAL,"2,250,000",871.88,"2,581",02 Jan 2020,8 EU TONG SEN STREET #11-82,Resale,Strata,81,"27,778",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
TEXTILE CENTRE,"800,000",882.65,906,03 Jan 2020,200 JALAN SULTAN #08-07,Resale,Strata,82,"9,756",Office,99 yrs from 02/06/1970,07,19,199018,Central Region,Kallang
CENTRIUM SQUARE,"2,517,700",979.52,"2,570",06 Jan 2020,320 SERANGOON ROAD #14-12,New Sale,Strata,91,"27,667",Office,Freehold,08,21,218108,Central Region,Kallang
BUKIT TIMAH SHOPPING CENTRE,"1,680,000","1,237.86","1,357",06 Jan 2020,170 UPPER BUKIT TIMAH ROAD #10-02,Resale,Strata,115,"14,609",Office,999 yrs from 17/12/1883,21,58,588179,Central Region,Bukit Timah
CENTRIUM SQUARE,"1,879,000",710.42,"2,645",06 Jan 2020,320 SERANGOON ROAD #14-11,New Sale,Strata,66,"28,470",Office,Freehold,08,21,218108,Central Region,Kallang
BURLINGTON SQUARE,"920,000",548.96,"1,676",06 Jan 2020,175A BENCOOLEN STREET #11-10,Resale,Strata,51,"18,039",Office,99 yrs from 10/06/1996,07,18,189650,Central Region,Rochor
LOFT @ NATHAN,"930,000",452.09,"2,057",08 Jan 2020,428 RIVER VALLEY ROAD #02-09,Resale,Strata,42,"22,143",Office,Freehold,10,24,248327,Central Region,Tanglin
SUNTEC CITY,"37,100,000","14,380.7","2,580",09 Jan 2020,7 TEMASEK BOULEVARD #10-01,Resale,Strata,"1,336","27,769",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
TEXTILE CENTRE,"830,000",645.84,"1,285",15 Jan 2020,200 JALAN SULTAN #04-20,Resale,Strata,60,"13,833",Office,99 yrs from 02/06/1970,07,19,199018,Central Region,Kallang
WOODS SQUARE,"1,053,306",559.73,"1,882",16 Jan 2020,12 WOODLANDS SQUARE #07-66,New Sale,Strata,52,"20,256",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
CENTRIUM SQUARE,"1,873,100",721.19,"2,597",17 Jan 2020,320 SERANGOON ROAD #12-02,New Sale,Strata,67,"27,957",Office,Freehold,08,21,218108,Central Region,Kallang
THE CENTRAL,"2,200,000",925.7,"2,377",17 Jan 2020,8 EU TONG SEN STREET #21-85,Resale,Strata,86,"25,581",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
THE CENTRAL,"1,600,000",635.08,"2,519",20 Jan 2020,6 EU TONG SEN STREET #09-08,Resale,Strata,59,"27,119",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
CENTRIUM SQUARE,"1,909,000",721.19,"2,647",20 Jan 2020,320 SERANGOON ROAD #14-02,New Sale,Strata,67,"28,493",Office,Freehold,08,21,218108,Central Region,Kallang
PAYA LEBAR SQUARE,"2,010,000","1,087.16","1,849",20 Jan 2020,60 PAYA LEBAR ROAD #04-13,Resale,Strata,101,"19,901",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
FAR EAST SHOPPING CENTRE,"860,000",182.99,"4,700",21 Jan 2020,545 ORCHARD ROAD #03-39,Resale,Strata,17,"50,588",Office,999 yrs from 30/10/1871,09,23,238882,Central Region,Orchard
THE GOLDEN LANDMARK,"640,000",505.91,"1,265",21 Jan 2020,390 VICTORIA STREET #02-05,Resale,Strata,47,"13,617",Office,99 yrs from 30/04/1981,07,18,188061,Central Region,Rochor
WOODS SQUARE,"1,344,962",645.84,"2,083",22 Jan 2020,12 WOODLANDS SQUARE #05-88,New Sale,Strata,60,"22,416",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
WOODS SQUARE,"1,053,306",559.73,"1,882",23 Jan 2020,12 WOODLANDS SQUARE #07-62,New Sale,Strata,52,"20,256",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
SUNTEC CITY,"11,107,200","4,628.52","2,400",28 Jan 2020,7 TEMASEK BOULEVARD #17-01,Resale,Strata,430,"25,831",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
CENTRIUM SQUARE,"1,610,200",613.55,"2,624",28 Jan 2020,320 SERANGOON ROAD #12-06,New Sale,Strata,57,"28,249",Office,Freehold,08,21,218108,Central Region,Kallang
PEACE CENTRE/MANSIONS,"916,750",925.7,990,28 Jan 2020,1 SOPHIA ROAD #05-20,Resale,Strata,86,"10,660",Office,99 yrs from 02/06/1970,09,22,228149,Central Region,Rochor
WOODS SQUARE,"1,370,000",753.48,"1,818",29 Jan 2020,12 WOODLANDS SQUARE #04-82,New Sale,Strata,70,"19,571",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
SHENTON HOUSE,"837,900",441.32,"1,899",29 Jan 2020,3 SHENTON WAY #13-06,Resale,Strata,41,"20,437",Office,99 yrs from 02/06/1969,01,06,068805,Central Region,Downtown Core
SUNTEC CITY,"38,000,000","11,840.4","3,209",31 Jan 2020,"9 TEMASEK BOULEVARD #33-01,02,03",Resale,Strata,"1,100","34,545",Office,99 yrs from 01/03/1989,01,03,038989,Central Region,Downtown Core
SBF CENTER,"2,259,000",753.48,"2,998",03 Feb 2020,160 ROBINSON ROAD #24-04,Resale,Strata,70,"32,271",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
BUKIT TIMAH SHOPPING CENTRE,"1,125,000",322.92,"3,484",03 Feb 2020,170 UPPER BUKIT TIMAH ROAD #03-10,Resale,Strata,30,"37,500",Office,999 yrs from 17/12/1883,21,58,588179,Central Region,Bukit Timah
N.A.,"5,090,000","2,034.4","2,502",03 Feb 2020,"36 ARMENIAN STREET #01-02,03",Resale,Strata,189,"26,931",Office,99 yrs from 21/09/2007,06,17,179934,Central Region,Museum
VISION EXCHANGE,"3,501,000","1,689.95","2,072",03 Feb 2020,2 VENTURE DRIVE #14-15,Resale,Strata,157,"22,299",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
CENTRIUM SQUARE,"1,609,245",613.55,"2,623",04 Feb 2020,320 SERANGOON ROAD #13-08,New Sale,Strata,57,"28,232",Office,Freehold,08,21,218108,Central Region,Kallang
BUKIT TIMAH SHOPPING CENTRE,"1,200,000","1,248.62",961,05 Feb 2020,170 UPPER BUKIT TIMAH ROAD #11-03,Resale,Strata,116,"10,345",Office,999 yrs from 17/12/1883,21,58,588179,Central Region,Bukit Timah
SUNTEC CITY,"6,240,000","2,400.37","2,600",10 Feb 2020,7 TEMASEK BOULEVARD #07-04,Resale,Strata,223,"27,982",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
PENINSULA PLAZA,"804,609",495.14,"1,625",11 Feb 2020,111 NORTH BRIDGE ROAD #04-46,Resale,Strata,46,"17,492",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
PENINSULA PLAZA,"1,230,000",645.84,"1,904",14 Feb 2020,111 NORTH BRIDGE ROAD #05-44,Resale,Strata,60,"20,500",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
PEOPLE'S PARK CENTRE,"1,010,000",247.57,"4,080",14 Feb 2020,101 UPPER CROSS STREET #01-05C,Resale,Strata,23,"43,913",Office,99 yrs from 02/06/1970,01,05,058357,Central Region,Outram
VISION EXCHANGE,"8,071,000","3,379.9","2,388",17 Feb 2020,"2 VENTURE DRIVE #17-23,24,25,26,27",Resale,Strata,314,"25,704",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
THE CENTRAL,"1,395,000",602.78,"2,314",18 Feb 2020,6 EU TONG SEN STREET #06-03,Resale,Strata,56,"24,911",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
INTERNATIONAL PLAZA,"2,100,000",936.47,"2,242",25 Feb 2020,10 ANSON ROAD #21-04,Resale,Strata,87,"24,138",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
SAMSUNG HUB,"49,780,000","13,099.79","3,800",26 Feb 2020,"3 CHURCH STREET #11-01,02,03,04",Resale,Strata,"1,217","40,904",Office,999 yrs from 25/01/1827,01,04,049483,Central Region,Downtown Core
PEACE CENTRE/MANSIONS,"510,000",473.62,"1,077",28 Feb 2020,1 SOPHIA ROAD #04-27,Resale,Strata,44,"11,591",Office,99 yrs from 02/06/1970,09,22,228149,Central Region,Rochor
VISION EXCHANGE,"2,844,000","1,313.21","2,166",02 Mar 2020,2 VENTURE DRIVE #13-23,Resale,Strata,122,"23,311",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
